Parliament,Session,speech
41st,2nd,"In spite of continuing risks from beyond our shores, our Government is leading the world by example. It secured the commitment of the world's largest economies to put in place credible plans to achieve financial sustainability. And it set clear targets to bring our own deficit down. Canada now leads the G-7 - in job creation; in income growth; and in keeping debt levels low."
41st,2nd,Canada is now among only a few countries in the world with a triple-A credit rating.
41st,2nd,By taking decisive action Canada has stayed strong where others have faltered. But we cannot be complacent. The global economy still faces significant risks from factors that we do not control. We must stay the course. And sound management remains our Government's guide.
41st,2nd,Canadian families know they cannot prosper by continually spending more than they earn. Our Government is no different.
41st,2nd,"Just as our Government manages debt, so too is it tackling spending. Every day, Canadian families make tough choices about how to spend their hard-earned money. Guided by this example, our Government will continue reducing the size and cost of Government to ensure that taxpayers get value for money."
41st,2nd,"Canadians want good, well-paying, stable jobs. And our country needs Canadians working."
41st,2nd,Canadians know that businesses create jobs. So our Government lowered their tax burden and cut red tape.
41st,2nd,"Canada now has the best job creation record in the G-7 - one million net new jobs since the depths of the recession. These are overwhelmingly full-time, well-paying, private sector jobs."
41st,2nd,But our Government is not stopping here.
41st,2nd,Canada has one of the best-educated workforces in the world. But there are too many people without jobs and too many jobs without people.
41st,2nd,"From the days of the coureurs des bois and the Hudson's Bay Company, Canada has been a trading nation. Today, with one in five Canadian jobs dependent on exports, our prosperity hinges on opening new markets for Canadian goods, services and investment."
41st,2nd,"This is why our Government launched the most ambitious trade agenda in Canadian history. In less than seven years, Canada has concluded new free-trade agreements with nine countries and our Government is negotiating further agreements involving more than 60 others."
41st,2nd,"Since Canada's earliest days, our economy has been built on our abundant natural resources. Directly and indirectly, the natural resource sector employs 1.8 million Canadians, many in skilled, high-paying jobs. Resource development generates 30 billion dollars annually in revenue that supports health care, education and programs Canadians cherish."
41st,2nd,"Canada's energy reserves are vast - sufficient to fuel our growing economy and supply international customers for generations to come. However, for Canadians to benefit fully from our natural resources we must be able to sell them. A lack of key infrastructure threatens to strand these resources at a time when global demand for Canadian energy is soaring."
41st,2nd,"We must seize this moment. The window for gaining access to new markets will not remain open indefinitely. Now more than ever, our future prosperity depends on responsible development of these resources. At the same time, our Government has taken action to ensure that Canada's resources do not fall under foreign government control."
41st,2nd,"Our Government believes, and Canadians expect, that resource development must respect the environment. Our Government's plan for responsible resource development includes measures to protect against spills and other risks to the environment and local communities. Our Government will:"
41st,2nd,"Canada was built on the work of farmers, fishermen, and foresters. They work hard to feed our families and sustain rural communities."
41st,2nd,Our Government will continue to protect and promote Canada's traditional industries.
41st,2nd,"Infrastructure investment creates jobs, supports trade, drives productivity and contributes in a fundamental way to growth and long-term prosperity."
41st,2nd,"For Canadians balancing the pressures of work and daily life, investment in our roads, bridges and transportation networks means less congestion, shorter commutes and more time with family. That's why, in Economic Action Plan 2013, our Government launched the new Building Canada Plan, the largest long-term federal commitment to infrastructure in Canadian history."
41st,2nd,"Our Government's leadership in science and technology helps Canadian business remain competitive while creating high-paying jobs. Since 2006, our Government has invested more than 9 billion dollars to support science, technology and innovative companies operating at the outer limits of knowledge."
41st,2nd,Canada now leads G-7 countries in post-secondary research investment.
41st,2nd,Canada's spectacular beauty attracts visitors from across the globe to every region of our country. These visitors create jobs and sustain local economies. Our Government will continue to work with industry partners to promote Canada as a top destination for tourism.
41st,2nd,Our Government has reduced the red tape burden on small and medium-sized businesses. There are now fewer regulations and the cost of red tape has been reduced by nearly 20 million dollars annually.
41st,2nd,"Canadians work hard for their money. And we know families are better placed to make spending decisions than governments. That is why our Government has lowered taxes, year after year - for families, for businesses, for each and every Canadian."
41st,2nd,"For example, our Government:"
41st,2nd,"Overall, the federal tax burden is at its lowest level in half a century. As a result of our Government's low-tax plan, the average Canadian family now pays 3,200 dollars less in taxes every year. Our Government has a proven record of cutting taxes for Canadian families. We have delivered on our promises. And, once the budget is balanced, our Government is committed to greater tax relief for Canadian families."
41st,2nd,"Canadian families work hard to make ends meet, and every dollar counts. While companies will look out for their bottom line, our Government is looking out for everyday Canadians."
41st,2nd,"When Canadians make decisions about how to spend their money, they must be assured of a voice, a choice, and fair treatment. For example, although Canadians are among the most digitally connected in the world, we also pay some of the highest wireless rates in the developed world. As families know - especially families with teenagers - the monthly bills add up."
41st,2nd,"Our Government has already taken action to achieve greater competition. Canadians know that competition is good for everyone. Competition lowers prices and keeps businesses from becoming complacent. As a result, wireless rates have fallen nearly 20 per cent since 2008."
41st,2nd,But there is much more work to do.
41st,2nd,And our Government will take additional action to protect Canadian consumers. Canadians are tired of hidden fees. They deserve to know the real cost of paying by debit or credit card. And they should not be charged more in Canada for identical goods that sell for less in the United States.
41st,2nd,Our Government will:
41st,2nd,"Our Government believes that the justice system exists to protect law-abiding citizens and our communities. For too long, the voices of victims have been silenced, while the system coddled criminals. Our Government has worked to re- establish Canada as a country where those who break the law are punished for their actions; where penalties match the severity of crimes committed; where the rights of victims come before the rights of criminals."
41st,2nd,"Families are the cornerstone of our society. Families raise our children and build our communities. As our families succeed, Canada succeeds."
41st,2nd,"Our Government understands the daily pressures ordinary Canadian families face. And it is working to strengthen families, not replace them. That's why our Government took money from bureaucrats and lobbyists and gave it to the real experts on child care - mom and dad. Our Government's Universal Child Care Benefit provides 1,200 dollars a year to parents to help with the costs of raising kids."
41st,2nd,Our Government will also support hard-working Canadian families in other ways.
41st,2nd,Our Government will also:
41st,2nd,"Canadian families expect safe and healthy communities in which to raise their children. They want to address poverty and other persistent social problems, access safe and reliable infrastructure, and enjoy a clean and healthy environment."
41st,2nd,Our Government will:
41st,2nd,"Since before Confederation, Canada has relied on railways for the movement of goods and passengers. It is no different today. New economic opportunities still require rail to link Canadian goods to waiting markets."
41st,2nd,The first responders and ordinary Canadians who came together to confront the recent disasters in Lac-Mégantic and Alberta showed courage under the most dire circumstances. The Government has always stood with communities in times of crisis and recovery.
41st,2nd,Government has no higher obligation than the protection of national sovereignty and the security of citizens. And Canadians know that you cannot earn respect by projecting weakness. Serious countries have serious capabilities.
41st,2nd,"Look at the paintings that adorn this room - scenes of the Great War. They remind us of this, and of the profound sacrifices made by our men and women in uniform. These heroes are the pride of our country and the backbone of our history."
41st,2nd,"After a decade of darkness, our Government has been living up to our promise to give the Canadian military the tools it needs to get the job done. Soldier for soldier, sailor for sailor, airman for airman, the Canadian Armed Forces are once again the best in the world."
41st,2nd,"No longer does Canada have to hitch a ride with our allies. Our serving men and women can now carry out their vital missions. The Royal Canadian Air Force is flying new heavy-lift C-17 and C-130J transport aircraft, and operating Chinook helicopters. New tanks, artillery and other equipment have proven their worth in combat. Canadian workers at Canadian shipyards will build new ships for the Royal Canadian Navy and the Canadian Coast Guard. And our Government will complete our plan to replace Canada's fleet of fighter jets."
41st,2nd,"Building on these successes, our Government will renew our Canada First Defence Strategy. Now and in the future, Canada's Armed Forces will defend Canada and protect our borders; maintain sovereignty over our Northern lands and waters; fight alongside our allies to defend our interests; and respond to emergencies within Canada and around the world."
41st,2nd,"To be effective, our military must have more teeth and less tail. Our Government will:"
41st,2nd,"As our Government takes these steps, it will always keep faith with those who have defended Canada with pride. Our veterans have stood up for us; we will stand by them. Our Government has made unprecedented investments to support our veterans."
41st,2nd,Our Government has:
41st,2nd,Our Government has worked to help returning veterans re-establish themselves. We will:
41st,2nd,"We are a northern country. We are a northern people. Canada's greatest dreams are to be found in our highest latitudes. They are the dreams of a North confident and prosperous, the True North, strong and free."
41st,2nd,Our Government is securing our Northern sovereignty; promoting prosperity for Northerners; protecting our Arctic environmental heritage; and giving the people of the North a greater say in their own affairs.
41st,2nd,Our Government has made great strides by:
41st,2nd,But the eyes of the world increasingly look enviously to our North. Our Government will not rest.
41st,2nd,"Canada stands for what is right and good in the world. This is the true character of Canadians - honourable in our dealings, faithful to our commitments, loyal to our friends. Confident partners, courageous warriors and compassionate neighbours."
41st,2nd,"Canada does not go along to get along. Our Government defends Israel's right to exist as a Jewish state, the lone outpost of freedom and democracy in a dangerous region. And our Government stands opposed to those regimes that threaten their neighbours, slaughter their citizens, and imperil freedom. These regimes must ultimately be judged not by their words, but by their actions."
41st,2nd,"Canada seeks a world where freedom - including freedom of religion, the rule of law, democracy and human dignity are respected. Our Government will continue to promote these fundamental values around the world, including through the newly established Office of Religious Freedom."
41st,2nd,And Canadians know that freedom and prosperity march together.
41st,2nd,"Canadians also know that free and healthy societies require the full participation of women. Canada has taken a leadership role in addressing the health challenges facing women, infants and children in the world's poorest countries. These efforts are saving millions of lives."
41st,2nd,"It is the reality of our country that Canadians of very different origins live and work side by side, together. New Canadians work hard to learn our languages, our values, and our traditions, and in turn, are welcomed as equal members of the Canadian family. Our Government inherited a broken immigration system, and has worked hard to fix it."
41st,2nd,Our Government has:
41st,2nd,But there is still more our Government can and will do.
41st,2nd,Canadians understand that citizenship should not be simply a passport of convenience. Citizenship is a pledge of mutual responsibility and a shared commitment to values rooted in our history.
41st,2nd,"As we look confidently to the future, we draw great strength from our past. Beginning with our Aboriginal peoples, Canada's story is one of risk, sacrifice, and rugged determination. From the founding of New France, to the fight for Canada in the War of 1812; from the visionary achievement of Confederation, to our victory at Vimy Ridge, Canadians have repeatedly triumphed over long odds to forge a great country, united and free."
41st,2nd,"It is a story we recall with wonder and recount with pride. A story of how different provinces founded a federation in which our distinct strengths advance our unity. A federation in which Canada's two national languages position us uniquely in the world; where francophones thrive and celebrate a unique culture, in solidarity with fellow Canadians."
41st,2nd,Our Government has recognized the Québécois as a nation within a united Canada. It will work with the Government of Québec to ensure our common prosperity. And our Government will continue to respect the division of jurisdiction at the heart of the Constitution adopted at Confederation.
41st,2nd,"Canada's Confederation is worth celebrating. As we approach our historic 150th anniversary in 2017, our Government will join with Canadians in honouring this momentous milestone by:"
41st,2nd,"The coming anniversary of Confederation is also a time to mark the contribution of Canada's First Nations, Métis and Inuit communities, who have had a defining role in shaping our country."
41st,2nd,The road to 2017 is a fitting time to strengthen our institutions and democratic processes.
41st,2nd,"Honourable Members of the Senate and Members of the Commons, as the dawn of our Confederation approached in the 1860s, our founding Prime Minister Sir John A. Macdonald said of Canada's future that he saw ''a great nation - great in thought, great in action, great in hope, and great in position.''"
41st,2nd,His vision has come to pass.
41st,2nd,"Today, Canada is a model for the world. Admired for our freedom. Respected for our principles. Envied for our openness, compassion and peaceful pluralism."
41st,2nd,"As we approach the 150th anniversary of our great land, we look to the future. A future we will face true to our character, the character of a determined and enterprising people: Canadians, whose shops and small businesses spur the growth of our towns and cities; who work factory shifts and drive taxicabs to help their families get ahead; who take the same pride in raising their children as they do in being citizens of the best country on earth."
41st,2nd,"These are the quiet, unsung Canadians who are building our country."
41st,2nd,It is from them that we draw the inspiration to face an uncertain and unstable world.
41st,2nd,It is for them that we will seize the moment before us.
41st,2nd,"Members of the House of Commons, you will be asked to appropriate the funds required to carry out the services and expenditures authorized by Parliament."
41st,2nd,"Honourable Senators and Members of the House of Commons, you are the holders of a profound trust reposed in you by Canadians."
41st,2nd,May you be equal to that trust in all things and may Divine Providence guide you in your deliberations.
41st,2nd,Stay Connected
41st,1st,"3 June 2011 Ottawa, Ontario"
41st,1st,"I begin by congratulating all parliamentarians on this opening day of the Forty-first Parliament of Canada on my own behalf and on behalf of Her Majesty Queen Elizabeth II, Queen of Canada, who sends her congratulations and warm good wishes. Many of you are returning to your duties as Members of the House of Commons, and over one hundred of you are about to take your places as elected representatives for the first time."
41st,1st,"Together, you have been entrusted with a profound responsibility: to serve the public interest on behalf of all Canadians."
41st,1st,"In the months since my installation as Governor General, I have had the privilege of meeting with Canadians in their communities, and at Rideau Hall and La Citadelle. It has been an honour to answer this unique call to service, and I want to share with you something of what I have learned in my travels across this remarkable country of ours."
41st,1st,"I have learned that, regardless of age or affiliation, all Canadians want to help create a better future for this country. Each of us aspires to a Canada where everyone can succeed and contribute, where excellence and opportunity coexist."
41st,1st,I have met with Canadians from all walks of life and discovered this common ground.
41st,1st,"In 2017, we will celebrate the 150th anniversary of Confederation, and I invite all Canadians to imagine ways to build a smarter, more caring nation as we approach this wonderful milestone. I believe that in order to achieve our vision, we must work together to support families and children, to reinforce learning and innovation, and to encourage philanthropy and volunteerism."
41st,1st,"Each of us can answer the call to service in our own way and, together, continue this bold experiment that we call Canada."
41st,1st,"Canadians have expressed their desire for a strong, stable national government in this new Parliament. With this clear mandate, our Government will deliver on its commitments. It will implement the next phase of Canada’s Economic Action Plan to build on the progress already made. It will continue to focus on jobs and growth. It will bring the federal budget back into balance. It will invest in our system of universal health care. It will support the communities and families that work so hard to care for each other. Our Government will defend the rights of law-abiding citizens, and it will promote Canadian values and interests at home and abroad."
41st,1st,"Our Government will be here for all Canadians—for individuals, for families and for all regions of the country—as together we move Canada forward."
41st,1st,Jobs and growth will remain our Government’s top priority.
41st,1st,"Through Canada’s Economic Action Plan, our Government took direct action to create jobs and protect Canadians during the global recession. On Monday, as our first order of business, our Government will reintroduce our Budget, in order to implement the next phase of Canada’s Economic Action Plan—our low tax plan for jobs and growth. We will get back to work on the things that matter most to Canadians: good jobs, security for our families and a prosperous future."
41st,1st,"Our Government’s plan builds on five years of hard work to create the right conditions for growth and job creation: a stable, predictable, low-tax environment; a highly skilled and flexible workforce; support for innovation and new technologies; and wider access to markets abroad. This approach has allowed Canada to meet the challenges of the global recession. The next phase of our Government’s plan is designed to help us stay on track during the recovery."
41st,1st,"Since 2006, Canadians have benefited from significant, broad-based tax cuts. These cuts have given families the flexibility to make the choices that are right for them. They have freed businesses to grow and succeed, creating the jobs on which Canadians depend. Our Government will continue on this path by introducing new tax credits for individuals and families, and by keeping taxes low to create jobs. It will also complete work already underway with the Government of Quebec to reach an agreement on tax harmonization no later than September 15, 2011."
41st,1st,"However, there is more to be done. The global economy remains fragile, and risks to our recovery persist. As well, Canada’s workforce is aging, and it will no longer grow as it has in the past. This demographic challenge will impact our economic future and put long-term pressures on our pension and health systems that must be addressed."
41st,1st,"In the years ahead, our prosperity will also depend on making sure that all Canadians have the skills and opportunities to contribute, to innovate and to succeed. Our Government’s plan will provide assistance for workers who want to learn new skills and seize opportunities. It will remove barriers for older workers who want to continue their careers. It will lay the foundation for long-term growth by helping a new generation gain the critical skills they will need to thrive in the workforce."
41st,1st,"The success of Canada’s job-creating businesses demands both hard work and good ideas, and we must create the right conditions for both to be rewarded. Our Government will introduce and seek swift passage of copyright legislation that balances the needs of creators and users."
41st,1st,"In order to improve Canada’s productivity, enhance our economic competitiveness and increase our standard of living, our Government will continue to make targeted investments to promote and encourage research and development in Canada's private sector and in our universities, colleges and polytechnics. It will look for ways to support innovation while ensuring that federal investment in research and development is effective and maximizes results for Canadians. It will also release and implement a Digital Economy Strategy that enhances digital infrastructure and encourages Canadian businesses to adopt digital technologies and provide digital-skills training for their employees and new hires."
41st,1st,"In addition, our Government will continue to cut red tape for small businesses so that they can focus their attention on growing their businesses and creating jobs. This will be achieved while maintaining the highest standards to protect our environment and the health and safety of Canadians."
41st,1st,"Our Government will also continue opening new markets for Canadian businesses in order to create good new jobs for Canadian workers. Since 2006, we have signed free trade agreements covering eight countries, and negotiations covering some fifty more are underway."
41st,1st,"Our Government will aim to complete negotiations on a free trade agreement with the European Union by 2012. It will also seek to complete negotiations on a free trade agreement with India in 2013. In all international forums and bilateral negotiations, our Government will continue to stand up for Canadian farmers and industries by defending supply management."
41st,1st,"The United States is our most important trading partner, ally and friend. Our Government will work with President Obama and his administration to deliver on the Shared Vision for Perimeter Security and Economic Competitiveness. We will strengthen our collaboration to streamline and secure our border and enhance regulatory cooperation, ensuring that people and goods can flow freely and safely between our two countries."
41st,1st,Our Government also understands the importance of attracting foreign investment to our economy. Foreign investment helps Canadian companies grow by introducing new technologies and practices—launching pads to strengthen growth and innovation here at home. It provides new opportunities to connect our firms to the world. Our Government will continue to welcome foreign investment that benefits Canada.
41st,1st,"Our Government will also move forward with willing partners to establish a new national securities regulator, subject to the Supreme Court’s decision on the extent of federal jurisdiction."
41st,1st,"Nearly three years ago, the world faced an unprecedented financial crisis. Drawing on strong fundamentals and the values of the hard-working Canadians and firms that refused to let difficult times define them, our Economic Action Plan helped Canada emerge quickly from recession. Working closely with provinces, territories and communities, our Government moved swiftly to deliver a targeted, time-limited stimulus program that created and protected jobs right across the country."
41st,1st,"Hard work, determination and responsible choices allowed us to make these extraordinary investments when times were tough, while avoiding the high debt levels that threaten other countries. We must now take that same approach to future growth. We must eliminate the deficit and return to balanced budgets to ensure that our economy can continue to grow and create jobs and that the federal government will have sufficient fiscal flexibility for future choices."
41st,1st,"Our Government had committed to achieving this by 2015. In order to accelerate the return to a balanced budget and to eliminate the deficit one year earlier, over the next year we will undertake a Strategic and Operating Review of government spending led by a new Cabinet subcommittee established for this purpose. This review will be focused on reducing the cost of government, while keeping taxes low and preserving transfers to individuals and provinces for essential things like pensions, health and education. Our Government will also complete its stimulus package as promised and continue specific measures to restrain the growth of government expenditures."
41st,1st,"Our Government’s plan will put us on a strong footing to resume paying down the federal debt, further reduce taxes on families and continue investing in priorities."
41st,1st,"There is no greater priority for Canadians than caring for their loved ones. Canadians believe that their parents and grandparents have worked hard and deserve a secure retirement. They want their children and grandchildren to grow up with every opportunity to lead happy, healthy lives."
41st,1st,"Many Canadian families struggle to realize these goals. That is why our Government’s low-tax plan will permanently enhance the Guaranteed Income Supplement for some 680,000 of Canada’s most vulnerable seniors. This increase—the largest in a quarter century—will help these seniors make ends meet. At the same time, our Government will continue to help Canadians save for their retirement, and will work with provincial and territorial partners to implement the Pooled Registered Pension Plan."
41st,1st,"Our Government’s plan also recognizes the tremendous time and resources required of family caregivers. Many individuals and families have added responsibilities in caring for infirm parents or relatives. These family caregivers make special sacrifices, often leaving the workforce temporarily and forgoing employment income."
41st,1st,"The new Family Caregiver Tax Credit will support those who care for a dependent family member who is infirm. In addition, our Government will remove the cap on eligible expenses that caregivers can claim under the Medical Expense Tax Credit."
41st,1st,Our Government will also support parents in providing their children with opportunities to grow personally and discover their creative passions by establishing a Children’s Arts Tax Credit.
41st,1st,"Canadians want and expect their health care system to be there when they and their families need it most. Canadians want better results from the health care system, at the same time as an aging population is putting unprecedented pressure on the system’s ability to deliver."
41st,1st,"Our Government is committed to respecting provincial jurisdiction and working with the provinces and territories to ensure that the health care system is sustainable and that there is accountability for results. It will maintain the six percent escalator for the Canada Health Transfer, while working collaboratively with provincial partners to renew the Health Accord and to continue reducing wait times. As has been done before, our Government will enter into a separate agreement with the Government of Quebec regarding the implementation of the renewed Health Accord."
41st,1st,"Canadians are united by core values, a shared history and a sense of common purpose. Our Government will join Canadians in celebrating our heritage, in promoting our values and in standing for what is right on the world stage. In an uncertain global environment, our Government will also continue to pursue a stable, principled foreign policy that advances Canada’s interests."
41st,1st,"The Canadian Armed Forces play a crucial role in defending our sovereignty and national security. As the Canadian mission in Afghanistan transitions to training, diplomacy and development, our Government joins Canadians in honouring those who gave their lives and in recognizing the sacrifice and achievements of all the men and women, both military and civilian, who have served and continue to serve in Afghanistan. Our Government will continue to recognize and support all veterans."
41st,1st,"Today, as North Africa and the Middle East are being transformed by their people, the Canadian Armed Forces are standing tall with our allies to protect civilians in Libya. Our Government will hold a parliamentary debate on the future of this important mission."
41st,1st,"As part of our ongoing efforts to promote human rights, our Government will create a new Office of Religious Freedom to help protect religious minorities and to promote the pluralism that is essential to the development of free and democratic societies."
41st,1st,"We will also take action to strengthen our national sovereignty. Our Government is committed to protecting the integrity of our immigration system. It will introduce measures to address marriage fraud—an abuse of our system that can victimize unsuspecting Canadians and vulnerable immigrants. Our Government will also reintroduce legislation to combat human smuggling, which can place migrants in dangerous conditions and undermine trust in Canada’s immigration system."
41st,1st,"Our Government has made Canada’s North a cornerstone of its agenda. The strongest expression of our sovereignty comes through presence and actions, not words. Our Government will continue to exercise leadership in the stewardship of northern lands and waters. It is also committed to working with the Northwest Territories and the private sector to complete the Dempster Highway—by linking Inuvik to Tuktoyaktuk—thereby realizing Prime Minister Diefenbaker’s vision of connecting Canada by road from sea to sea to sea."
41st,1st,"Canada’s natural environment shapes our national identity, our health and our prosperity. Our Government has expanded protected lands and marine areas to an unprecedented extent, so that current and future generations can continue to enjoy them. In this, the 100th anniversary year of our national parks system, our Government will create significant new protected areas. It will work with provincial, regional, municipal, Aboriginal and community stakeholders toward establishing an urban national park in the Rouge Valley of eastern Toronto. Looking to the future, our Government will engage a broad range of stakeholders on the development of a National Conservation Plan, to move our conservation objectives forward and better connect all Canadians with nature."
41st,1st,"Our Government is committed to developing Canada’s extraordinary resource wealth in a way that protects the environment. It will support major new clean energy projects of national or regional significance, such as the planned Lower Churchill hydroelectricity project in Atlantic Canada. It will engage the provinces, territories and industry on ways to improve the regulatory and environmental assessment process for resource projects, while ensuring meaningful consultation with affected communities, including Aboriginal communities."
41st,1st,"Beyond our natural heritage, Canadians also cherish our shared history. Anniversaries are an important part of how a society marks its collective progress and defines its goals for the future. A key milestone next year will be the bicentennial of the War of 1812. We will remember how those of diverse backgrounds and various regions came together to fight for Canada, ensuring the independent destiny of our country in North America. We will also celebrate the 200th anniversary of the Selkirk Settlement, which marks the founding of Manitoba and the early days of the modern West."
41st,1st,"Next year we will observe Her Majesty’s Diamond Jubilee, celebrating her six decades of service as Queen of Canada. And Canadians look forward, in just a few weeks’ time, to welcoming Their Royal Highnesses The Duke and Duchess of Cambridge on their first Royal Tour since their marriage this spring."
41st,1st,The Government of Canada has no more fundamental duty than to protect the personal safety of our citizens and defend against threats to our national security.
41st,1st,"Our Government will move quickly to reintroduce comprehensive law-and-order legislation to combat crime and terrorism. These measures will protect children from sex offenders. They will eliminate house arrest and pardons for serious crimes. They will give law enforcement officials, courts and victims the legal tools they need to fight criminals and terrorists. Our Government will continue to protect the most vulnerable in society and work to prevent crime. It will propose tougher sentences for those who abuse seniors and will help at risk youth avoid gangs and criminal activity. It will address the problem of violence against women and girls."
41st,1st,"Our Government has always believed the interests of law-abiding citizens should be placed ahead of those of criminals. Canadians who are victimized or threatened by crime deserve their government’s support and protection, and they should have the right to take reasonable steps to defend themselves and their property when the police cannot be there to assist them. Our Government will reintroduce legislation to clarify and strengthen laws on self-defence, defence of property and citizen’s arrest."
41st,1st,Our Government will also continue to implement its response to the Air India Report.
41st,1st,"In addition to guarding the interests of our nation as a whole, our Government will continue taking action to address the needs and aspirations of every region of the country. Local communities are best placed to overcome their unique challenges, but government can help create the conditions for these communities—and the industries that sustain them—to succeed."
41st,1st,"Canada’s rural communities are rich in history and culture, and generations of rural Canadians have worked hard and played by the rules. They should not be the target of unfair laws. Our Government will act on its promise to introduce legislation to end the wasteful and ineffective long-gun registry."
41st,1st,"Canada’s traditional industries remain crucial to our economy. Our Government has always stood behind Canada’s agricultural, forestry, fishing, mineral, manufacturing and energy sectors—and will continue to support them as they innovate and grow. It will also introduce legislation to ensure that western farmers have the freedom to sell wheat and barley on the open market."
41st,1st,"Canada’s Aboriginal peoples are central to Canada’s history, and our Government has made it a priority to renew and deepen our relationship. The contribution of Canada’s Aboriginal peoples will be important to our future prosperity. Concerted action is needed to address the barriers to social and economic participation that many Aboriginal Canadians face."
41st,1st,"Our Government will work with Aboriginal communities, provinces and territories to meet this challenge. It will help open the door to greater economic development by providing new investments in First Nations Land Management. It will promote access to clean water and the deployment of clean energy technology in Aboriginal and northern communities."
