state,year,spircons,unrate,perinc,emppop,beertax,sobapt,mormon,mlda,dry,yngdrv,vmiles,breath,jaild,comserd,allmort,mrall,allnite,mralln,allsvn,a1517,mra1517,a1517n,mra1517n,a1820,a1820n,mra1820,mra1820n,a2124,mra2124,a2124n,mra2124n,aidall,mraidall,pop,pop1517,pop1820,pop2124,miles,unus,epopus,gspch
"AZ",1988,1.68,6.3,14408.08,60.49767,.346487,3.564,4.41399,21,0,.161005,9815.721,0,1,1,944,.0002706,136,.000039,67,54,.0003649,14,.0000946,100,14,.0006369,.0000892,116,.0005321,31,.0001422,238.234,.0000683,3488995,147999.9,157000.7,218000,34247,5.5,62.3,.0265678
"AR",1982,1.19,9.8,10267.3,54.47586,.650358,22.9672,.32829,21,36.7128,.204903,7208.5,0,0,0,550,.0002384,102,.0000442,64,36,.0002951,5,.000041,62,24,.0005113,.0001979,61,.0003885,18,.0001146,271.459,.0001177,2306999,122000,121269.5,157000,16630,9.7,57.8,-.0347338
"AR",1983,1.2,10.1,10433.49,53.81479,.6754587,23.0009,.34341,21,36.4301,.194169,7175.917,0,0,0,557,.0002396,88,.0000378,47,35,.0002966,2,.0000169,65,19,.0005385,.0001574,73,.0004591,22,.0001384,247.857,.0001066,2324999,118000.1,120698.1,159000.2,16684,9.6,57.9,.0401444
"AR",1984,1.22,8.9,10916.48,54.67128,.5989011,23.0346,.35924,21,36.104,.18638,7084.82,0,0,0,525,.0002238,81,.0000345,48,34,.0002957,2,.0000174,72,24,.0005994,.0001998,67,.0004136,18,.0001111,182.707,.0000779,2346002,115000.1,120129.4,162000.1,16621,7.5,59.5,.0835973
"AR",1985,1.12,8.7,11149.36,54.97712,.5773305,23.0684,.37579,21,35.905,.189292,7253.918,0,0,0,534,.0002264,73,.0000309,43,45,.0003982,7,.0000619,56,13,.0004684,.0001087,57,.000354,19,.000118,198.154,.000084,2359001,113000,119563.4,161000.1,17112,7.2,60.1,.0046022
"AR",1986,.92,8.7,11399.38,55.56186,.5624355,23.1022,.39311,21,39.5696,.161957,7468.999,0,0,0,603,.0002543,108,.0000456,67,48,.0004174,7,.0000609,66,22,.0005546,.0001849,78,.0005379,22,.0001517,237.517,.0001002,2371001,115000.1,119000,145000,17709,7,60.7,.0297692
"AR",1987,1.01,8.1,11537,56.33089,.545,23.1361,.41123,21,39.2879,.164132,7665.831,0,0,0,639,.0002676,110,.0000461,61,58,.0005,15,.0001293,72,19,.0006154,.0001624,65,.0004577,17,.0001197,221.905,.0000929,2388000,116000,117000.9,142000.1,18306,6.2,61.5,.00193
"AR",1988,.99,7.7,11760.35,57.36695,.5245429,23.17,.43018,21,39.2879,.167541,8024.625,0,0,0,610,.0002547,86,.0000359,55,41,.0003596,6,.0000526,61,16,.0005545,.0001455,69,.0004726,21,.0001438,208.85,.0000872,2395003,114000,109999.1,145999.9,19219,5.5,62.3,.0337335
"CA",1982,2.21,9.9,15797.14,59.51593,.1073986,1.7231,1.67854,21,0,.190196,6858.677,0,0,0,4615,.0001862,944,.0000381,553,241,.0002083,61,.0000527,567,161,.0004292,.0001219,758,.0004004,249,.0001315,1379.13,.0000556,2.48e+07,1157002,1321004,1892998,169999,9.7,57.8,-.011686
"CA",1983,2.15,9.7,15970.18,59.25233,.103211,1.7347,1.66792,21,0,.183569,7216.292,0,0,0,4573,.0001807,856,.0000338,487,232,.000206,39,.0000346,513,141,.0003916,.0001076,702,.0003722,206,.0001092,1251.6,.0000494,2.53e+07,1126001,1309863,1886002,182652,9.6,57.9,.0530367
"CA",1984,2.07,7.8,16590.11,60.69826,.0989011,1.7464,1.65736,21,0,.174131,7619.176,0,0,0,5020,.0001946,957,.0000371,559,267,.0002416,68,.0000615,593,177,.0004566,.0001363,770,.0004109,215,.0001147,1421.82,.0000551,2.58e+07,1105000,1298816,1873999,196537,7.5,59.5,.072461
"CA",1985,1.97,7.2,16985.17,61.33171,.095339,1.7582,1.64687,21,0,.167896,7874.067,0,0,0,4960,.0001881,887,.0000336,499,302,.0002731,65,.0000588,545,139,.0004232,.0001079,762,.0004108,226,.0001218,1243.92,.0000472,2.64e+07,1106000,1287862,1854999,207600,7.2,60.1,.0483305
"CA",1986,1.85,6.7,17356.04,62.00847,.0928793,1.7701,1.63644,21,0,.164371,8034.91,0,0,0,5253,.0001945,880,.0000326,510,318,.0002713,62,.0000529,571,141,.0004471,.0001104,757,.0004284,185,.0001047,1309.91,.0000485,2.70e+07,1172000,1277000,1766999,216951,7,60.7,.0466814
"CA",1987,1.78,5.8,17846,63.0743,.09,1.7821,1.62608,21,0,.160682,8180.633,0,0,0,5504,.000199,944,.0000341,531,302,.0002597,50,.000043,601,137,.000474,.000108,717,.0004088,199,.0001135,1431.57,.0000518,2.77e+07,1163001,1268013,1754000,226301,6.2,61.5,.0697363
"CA",1988,1.72,5.3,18049.09,63.78366,.0866218,1.7941,1.61578,21,0,.148684,8531.99,0,,,5390,.0001904,936,.0000331,541,246,.0002183,48,.0000426,583,144,.0004748,.0001173,702,.0003966,197,.0001113,1246.71,.000044,2.83e+07,1126998,1227989,1770001,241575,5.5,62.3,.0490204
"CO",1982,2.25,7.7,15082.34,64.96674,.2147971,2.3,1.82301,21,.113151,.229148,7742.842,0,0,1,668,.0002174,140,.0000456,96,27,.0001888,5,.000035,91,36,.0005354,.0002118,100,.0004065,35,.0001423,219.75,.0000715,3071999,143000.1,169956.8,246000,23786,9.7,57.8,.012043
"CO",1983,2.15,6.6,15131.88,67.30022,.206422,2.3,1.83462,21,.090822,.207658,7656.063,1,0,1,646,.0002051,146,.0000464,92,44,.0003143,12,.0000857,68,20,.0004056,.0001193,98,.0004033,30,.0001235,217.35,.000069,3149008,139999.9,167672,243000.1,24109,9.6,57.9,.0291794
"CO",1984,2.15,5.6,15486.81,68.66242,.1978022,2.3,1.84631,21,.075862,.192155,7707.853,1,0,1,608,.0001906,104,.0000326,73,53,.0003869,14,.0001022,71,14,.0004292,.0000846,101,.0004226,28,.0001172,202.94,.0000636,3189994,137000.1,165417.8,239000.1,24588,7.5,59.5,.0553472
"CO",1985,2.05,5.9,15569.92,67.85415,.190678,2.3,1.85808,21,.074899,.192028,8092.209,1,0,1,579,.0001792,96,.0000297,63,35,.0002555,7,.0000511,58,16,.0003554,.000098,100,.0004292,28,.0001202,186.73,.0000578,3231009,137000.2,163194,232999.8,26146,7.2,60.1,.0243076
"CO",1986,1.81,7.4,15616.1,64.98344,.1857585,2.3,1.86991,21,.074097,.1921,8131.375,1,0,1,603,.0001846,116,.0000355,75,50,.0003401,9,.0000612,76,18,.000472,.0001118,101,.000457,37,.0001674,175.37,.0000537,3265992,147000,161000,220999.8,26557,7,60.7,.0165261
"CO",1987,1.78,7.7,15605,64.2183,.18,2.3,1.88183,21,.05807,.192999,8182.028,1,0,1,591,.0001793,90,.0000273,64,42,.0002917,7,.0000486,54,16,.0003439,.0001019,59,.0002731,16,.0000741,140.26,.0000426,3296005,143999.8,156999.6,216000.1,26968,6.2,61.5,-.0235823
"CO",1988,1.74,6.4,15845.04,65.30445,.1732435,2.3,1.89382,21,.05807,.18026,8380.769,1,0,1,497,.0001506,93,.0000282,66,33,.0002426,6,.0000441,44,16,.0002953,.0001074,69,.0003301,23,.00011,132.95,.0000403,3301010,136000,149001,208999.7,27665,5.5,62.3,.008626
"CT",1982,2.42,6.9,17255.37,61.72942,.2243437,.1,.23331,18.5,.227055,.192841,6440.054,0,0,0,515,.0001647,158,.0000505,90,39,.0002294,8,.0000471,86,35,.0005299,.0002156,96,.0004444,42,.0001944,195.11,.0000624,3126993,169999.8,162300.1,216000.2,20138,9.7,57.8,-.002988
"CT",1983,2.46,6,17744.27,62.29441,.2335631,.1,.25198,19.25,.082803,.18935,6570.043,0,0,0,438,.0001395,118,.0000376,85,29,.0001768,11,.0000671,61,28,.0003802,.0001745,87,.0004028,31,.0001435,171.22,.0000545,3140010,164000.3,160443.5,215999.9,20630,9.6,57.9,.0736263
"CT",1984,2.41,4.6,18760.44,65.03468,.248011,.1,.27216,20,.080634,.181857,6680.193,0,0,0,469,.0001487,126,.0000399,85,32,.0002013,6,.0000377,65,25,.0004098,.0001576,81,.000375,30,.0001389,171.7,.0000544,3154999,158999.9,158608.1,216000,21076,7.5,59.5,.07782
"CT",1985,2.41,4.9,19312.5,65.91093,.2390784,.1,.29395,20.33,.080151,.178947,6979.215,0,1,1,448,.0001411,103,.0000325,71,35,.0002258,1,6.45e-06,53,15,.000338,.0000957,64,.0002963,24,.0001111,150.75,.0000475,3173996,155000.3,156793.7,216000.2,22152,7.2,60.1,.0505845
"CT",1986,2.31,3.8,20152.73,67.24277,.2329102,.1,.31748,21,.079862,.171669,7661.745,0,1,1,450,.0001409,114,.0000357,63,37,.0002434,11,.0000724,56,14,.0003613,.0000903,63,.000315,26,.00013,145.75,.0000456,3193007,152000,155000,200000,24464,7,60.7,.0636907
"CT",1987,2.25,3.3,21192,67.63767,.22569,.1,.3429,21,.080972,.166009,8338.534,0,1,1,449,.0001398,102,.0000318,61,31,.0002123,3,.0000205,42,11,.00028,.0000733,69,.0003557,30,.0001546,165.51,.0000515,3210996,145999.8,150000,194000.1,26775,6.2,61.5,.0757369
"CT",1988,2.15,3,22193.46,67.06396,.2172185,.1,.37035,21,.080972,.157068,8061.235,0,1,1,484,.0001497,93,.0000288,62,40,.0002941,7,.0000515,57,17,.0003986,.0001189,76,.0003762,32,.0001584,135.42,.0000419,3233003,135999.8,143000.5,201999.8,26062,5.5,62.3,.0512114
"DE",1982,2.59,8.5,14263.72,60.31042,.173031,.7,.2,20,0,.205543,7651.654,1,0,0,122,.0002033,34,.0000567,23,5,.0001613,2,.0000645,24,9,.0006527,.0002447,23,.0004792,14,.0002917,45.65,.0000761,600001,31000.06,36772.9,47999.96,4591,9.7,57.8,.0079685
"DE",1983,2.63,8.1,14500,59.86842,.1662844,.7,.2,20,0,.199483,8062.7,1,0,0,110,.0001815,26,.0000429,14,8,.0002667,2,.0000667,9,3,.0002496,.0000832,18,.000375,7,.0001458,33,.0000545,606000.5,29999.96,36059.16,48000,4886,9.6,57.9,.0567113
"DE",1984,2.57,6.2,14925.27,62.41901,.1593406,.7,.2,21,0,.193182,8368.063,1,0,0,130,.0002117,28,.0000456,16,8,.0002759,0,0,15,3,.0004242,.0000848,17,.0003617,8,.0001702,28.68,.0000467,614001.1,29000.01,35359.28,47000.02,5138,7.5,59.5,.0523612
"DE",1985,2.55,5.3,15408.9,63.55932,.1536017,.7,.2,21,0,.183342,8625.425,1,0,0,104,.0001672,21,.0000338,12,7,.00025,2,.0000714,10,2,.0002884,.0000577,21,.0004468,3,.0000638,38.88,.0000625,621998.4,28000,34672.98,46999.95,5365,7.2,60.1,.0378007
"DE",1986,2.42,4.3,15822.5,64.58333,.1496388,.7,.2,21,0,.177617,9045.817,1,0,0,136,.0002149,33,.0000521,20,10,.0003448,5,.0001724,18,6,.0005294,.0001765,22,.0005366,8,.0001951,45.55,.000072,632999.8,28999.96,34000,41000.03,5726,7,60.7,.0399405
"DE",1987,2.37,3.2,16407,65.5102,.145,.7,.2,21,0,.169047,9450.308,1,0,0,146,.0002267,27,.0000419,16,9,.0003103,3,.0001034,9,1,.0002647,.0000294,24,.0005854,10,.0002439,41.84,.000065,644000.2,28999.98,33999.47,40999.99,6086,6.2,61.5,.0614631
"DE",1988,2.32,3.2,16998.07,67.6,.1395573,.7,.2,21,0,.158751,9703.021,1,0,0,160,.0002424,32,.0000485,18,9,.0003214,1,.0000357,19,2,.0006333,.0000667,20,.0004444,7,.0001556,42.84,.0000649,660000.7,27999.96,30000.16,45000.04,6404,5.5,62.3,.0714475
"FL",1982,2.51,8.2,13502.39,53.4878,1.073986,9.1526,.4,19,0,.181476,7587.13,1,0,1,2653,.0002532,587,.000056,282,148,.0003103,35,.0000734,259,86,.0005263,.0001748,350,.0005087,123,.0001788,810.76,.0000774,1.05e+07,476999.3,492108.4,687999.9,79498,9.7,57.8,.0053854
"FL",1983,2.46,8.6,13924.31,53.72708,1.170413,8.9367,.4,19,0,.177945,7604.254,1,0,1,2686,.0002498,562,.0000523,291,132,.0002827,30,.0000642,274,92,.000551,.000185,317,.0004522,110,.0001569,963.9,.0000896,1.08e+07,467000.4,497250.2,701000.2,81776,9.6,57.9,.0770848
"FL",1984,2.35,6.3,14307.69,55.62103,1.186813,8.726,.4,19,0,.17872,7735.305,1,0,1,2814,.0002547,566,.0000512,311,150,.0003268,29,.0000632,270,88,.0005374,.0001751,344,.0004825,129,.0001809,744.38,.0000674,1.10e+07,459000.6,502445.7,713000.7,85475,7.5,59.5,.0808424
"FL",1985,2.27,6,14760.59,56.36853,1.144068,8.5202,.4,20,0,.170072,7747.311,1,0,1,2832,.0002492,490,.0000431,254,146,.0003195,24,.0000525,239,79,.0004708,.0001556,341,.0004743,101,.0001405,690.2,.0000607,1.14e+07,456999.8,507695.4,718999.8,88056,7.2,60.1,.0592894
"FL",1986,2.24,5.7,15102.17,57.44054,1.114551,8.3193,.4,21,0,.162555,7768.756,1,0,1,2830,.000242,530,.0000453,296,173,.0003642,39,.0000821,263,92,.0005127,.0001793,347,.0005171,94,.0001401,806.84,.000069,1.17e+07,474999.4,513000,670999.5,90848,7,60.7,.0535696
"FL",1987,2.17,5.3,15584,58.94335,1.08,8.1231,.4,21,0,.161258,7788.331,1,0,1,2839,.0002361,493,.000041,262,166,.0003437,32,.0000663,227,75,.0004425,.0001462,326,.0004866,94,.0001403,778.97,.0000648,1.20e+07,483000.4,512994.3,670000.3,93639,6.2,61.5,.0625311
"FL",1988,2.08,5,15979.79,59.79093,1.039461,7.9316,.4,21,0,.157563,8538.23,1,0,1,3078,.0002495,573,.0000465,315,184,.0003857,42,.0000881,278,73,.000565,.0001484,382,.0005465,145,.0002074,794.75,.0000644,1.23e+07,477000.3,492000.6,698999.9,105319,5.5,62.3,.0507521
"GA",1982,1.94,7.8,11774.46,60.07344,2.720764,24.6561,.42641,19,.49894,.210264,8623.444,0,0,0,1229,.0002175,225,.0000398,132,90,.0002961,16,.0000526,131,41,.0004045,.0001266,161,.0003824,59,.0001401,443.23,.0000784,5650991,303999.6,323855.6,420999.8,48731,9.7,57.8,.0060982
"GA",1983,1.99,7.5,12237.39,59.85542,2.614679,24.3885,.44026,19,.49991,.206981,8518.59,0,0,0,1296,.0002261,217,.0000379,134,97,.0003266,19,.000064,141,45,.000435,.0001388,160,.0003747,41,.000096,389.5,.0000679,5732991,297000.3,324141.3,427000.3,48837,9.6,57.9,.0790374
"GA",1984,1.97,6,12957.14,61.21198,2.505494,24.1239,.45456,19,.45019,.205332,8641.914,0,0,0,1410,.0002414,252,.0000431,146,124,.0004232,31,.0001058,167,47,.0005148,.0001449,168,.000388,48,.0001109,436.75,.0000748,5841993,293000.1,324427.3,432999.8,50486,7.5,59.5,.1020049
"GA",1985,1.93,6.5,13364.41,61.65138,2.415254,23.8621,.46932,19.25,.43317,.194928,8988.107,0,0,0,1361,.0002277,198,.0000331,124,95,.0003231,16,.0000544,151,37,.000465,.0001139,163,.0003713,38,.0000866,400.13,.000067,5976008,294000.2,324713.5,439000.5,53713,7.2,60.1,.0524056
"GA",1986,1.77,5.9,13891.64,63.30337,2.352941,23.6032,.48457,20.25,.42459,.188869,9344.768,0,0,0,1530,.0002508,263,.0000431,165,119,.0003826,22,.0000707,153,41,.0004708,.0001262,183,.0004442,49,.0001189,463.13,.0000759,6099992,310999.7,325000,411999.8,57003,7,60.7,.0652951
"GA",1987,1.75,5.5,14306,63.32089,2.28,23.3471,.5003,21,.20728,.184329,9690.281,0,0,0,1599,.000257,264,.0000424,164,113,.0003587,13,.0000413,134,29,.0004136,.0000895,190,.0004623,49,.0001192,470.43,.0000756,6222008,315000.1,324000.2,411000.1,60293,6.2,61.5,.064806
"GA",1988,1.72,5.8,14687.2,64.06385,2.194418,23.0938,.51656,21,.20728,.174883,9817.396,0,0,0,1653,.0002606,272,.0000429,171,125,.0004006,15,.0000481,171,49,.000557,.0001596,170,.0004,49,.0001153,484.88,.0000765,6342008,312000,307001.8,425000,62262,5.5,62.3,.0443216
"ID",1982,1.39,9.8,11078.76,58.82353,.4027447,1.02369,25.1575,19,0,.233786,8033.752,0,0,0,256,.0002618,47,.0000481,24,29,.0006042,4,.0000833,38,10,.0007273,.0001914,32,.0004638,13,.0001884,76.79,.0000785,977998.8,47999.97,52247.96,69000.02,7857,9.7,57.8,-.0541203
"ID",1983,1.3,9.8,11346.33,59.85507,.3870413,1.03574,24.9879,19,0,.228551,8387.642,0,0,0,263,.0002662,44,.0000445,31,15,.0003191,4,.0000851,38,12,.0007353,.0002322,36,.0005217,6,.000087,88.28,.0000893,988001.3,46999.99,51676.66,69000.02,8287,9.6,57.9,.045208
"ID",1984,1.28,7.2,11386.81,61.37339,.3708791,1.04794,24.8196,19,0,.218236,7775.768,0,0,0,242,.0002422,34,.000034,22,24,.0005106,2,.0000426,26,8,.0005087,.0001565,33,.0004853,7,.0001029,79.66,.0000797,999001,47000.03,51111.62,68000.02,7768,7.5,59.5,.0387287
"ID",1985,1.18,7.9,11459.75,61.28572,.3575212,1.06028,24.6523,19,0,.212606,7671.632,0,0,0,255,.0002537,53,.0000527,34,17,.0003617,7,.0001489,38,13,.0007517,.0002572,27,.0004154,9,.0001385,73.65,.0000733,1005001,47000.02,50552.75,64999.94,7710,7.2,60.1,.0210429
"ID",1986,1.12,8.7,11541.8,61.10326,.3482972,1.07277,24.4862,19,0,.207312,7899.201,0,0,0,258,.0002575,48,.0000479,35,33,.0006735,5,.000102,31,10,.00062,.0002,32,.0005079,9,.0001429,84.02,.0000839,1002000,49000.03,50000,62999.94,7915,7,60.7,-.0151058
"ID",1987,1.06,8,11859,61.18143,.3375,1.0854,24.3212,20.5,0,.202263,8135.269,0,0,0,262,.0002625,53,.0000531,39,22,.000449,5,.000102,34,11,.0007083,.0002292,34,.0005574,11,.0001803,78.18,.0000783,998000.3,48999.96,48000.23,61000,8119,6.2,61.5,.0005643
"ID",1988,1.07,5.8,12189.61,62.90098,.3248316,1.09818,24.1573,21,0,.189994,8102.682,0,0,0,257,.0002562,36,.0000359,25,22,.0004583,4,.0000833,30,6,.0006383,.0001277,30,.0005263,6,.0001053,72.8,.0000726,1003001,48000.04,46999.84,56999.98,8127,5.5,62.3,.0495875
"IL",1982,2.04,11.3,14743.44,58.07432,.1885442,2.34697,.2333,21,6.40355,.209362,5696.535,0,0,0,1651,.0001438,418,.0000364,229,106,.0001818,23,.0000395,203,80,.0003283,.0001294,224,.0002667,98,.0001167,532.99,.0000464,1.15e+07,583000.6,618339,839999,65385,9.7,57.8,-.0399355
"IL",1983,1.96,11.4,14745.41,57.74566,.1811927,2.37081,.252,21,6.39631,.205004,5862.868,0,0,0,1526,.0001328,362,.0000315,201,96,.0001714,18,.0000321,187,64,.0003089,.0001057,195,.0002358,85,.0001028,501.1,.0000436,1.15e+07,559998.6,605350.8,827000.1,67370,9.6,57.9,.0109067
"IL",1984,1.93,9.1,15390.11,59.13629,.1736264,2.3949,.2722,21,6.3791,.195512,6067.528,0,0,0,1547,.0001343,343,.0000298,206,99,.000183,27,.0000499,179,62,.000302,.0001046,231,.0002831,72,.0000882,462.28,.0000401,1.15e+07,541001.3,592635.3,816000.6,69910,7.5,59.5,.0689042
"IL",1985,1.86,9,15602.75,59.70356,.1673729,2.41923,.2939,21,6.37191,.192188,6141.676,0,0,0,1534,.000133,304,.0000264,162,73,.0001377,13,.0000245,162,45,.0002792,.0000776,232,.0002911,82,.0001029,396.69,.0000344,1.15e+07,529999.4,580186.9,796998.9,70844,7.2,60.1,.0187625
"IL",1986,1.75,8.1,15988.65,60.34324,.1630547,2.44381,.3175,21,4.47321,.185557,6345.777,0,0,0,1596,.0001382,354,.0000306,207,108,.0001996,20,.000037,178,64,.0003134,.0001127,238,.0003208,98,.0001321,475.67,.0000412,1.16e+07,541000.9,568000,741999.3,73300,7,60.7,.0308808
"IL",1987,1.68,7.4,16417,60.99989,.158,2.46863,.3429,21,4.46123,.182501,6540.846,1,0,0,1660,.0001433,326,.0000281,183,100,.000188,18,.0000338,173,54,.0003128,.0000976,225,.0003112,66,.0000913,437.11,.0000377,1.16e+07,531999.8,552998.3,723000.8,75756,6.2,61.5,.0263684
"IL",1988,1.63,6.8,16915.3,61.59708,.1520693,2.49371,.3703,21,4.46123,.170912,6757.613,1,0,0,1837,.0001582,364,.0000313,228,110,.0002165,23,.0000453,210,68,.0004054,.0001313,225,.0003078,63,.0000862,506.85,.0000436,1.16e+07,508001,517994.1,730998.9,78483,5.5,62.3,.0450503
"IN",1982,1.44,11.9,12282.82,56.42292,.3091325,1.80443,.3283,21,0,.20299,7149.917,1,0,0,961,.0001753,235,.0000429,131,65,.0002289,21,.0000739,127,45,.0004091,.000145,141,.0003422,53,.0001286,348.89,.0000636,5483001,284000.3,310440.3,412000,39203,9.7,57.8,-.0645199
"IN",1983,1.39,11.1,12364.68,56.48422,.2970791,1.85902,.3434,21,0,.180198,7277.506,1,0,0,1016,.0001856,212,.0000387,130,65,.000239,11,.0000404,130,43,.0004278,.0001415,146,.0003605,56,.0001383,346.77,.0000633,5473991,271999.5,303874.9,404999.8,39837,9.6,57.9,.0155557
"IN",1984,1.39,8.6,13008.79,58.71965,.2846736,1.91527,.3592,21,0,.103286,7478.887,0,0,0,925,.0001684,191,.0000348,119,83,.0003144,20,.0000758,102,32,.0003429,.0001076,137,.0003434,54,.0001353,351.45,.000064,5491994,263999.9,297448.3,399000.5,41074,7.5,59.5,.0773052
"IN",1985,1.39,7.9,13161.02,61.43695,.2744205,1.97321,.3758,21,0,.185119,7416.253,0,0,0,974,.0001771,166,.0000302,93,77,.0002962,14,.0000538,109,31,.0003744,.0001065,157,.0004046,52,.000134,302.45,.000055,5499004,259999.9,291157.6,388000.2,40782,7.2,60.1,.0168915
"IN",1986,1.28,6.7,13582.04,62.45146,.2673405,2.03292,.3931,21,0,.12042,7714.322,0,0,0,1038,.0001886,192,.0000349,131,83,.0003074,15,.0000556,119,34,.0004175,.0001193,142,.0003966,55,.0001536,290.31,.0000528,5503011,270000.4,285000,358000,42452,7,60.7,.0307622
"IN",1987,1.29,6.4,13937,61.92881,.259053,2.09442,.4112,21,0,.097662,7977.216,0,0,0,1055,.0001907,194,.0000351,123,100,.0003704,20,.0000741,99,32,.0003548,.0001147,118,.0003362,38,.0001083,254.86,.0000461,5531003,270000.3,278999,351000.3,44122,6.2,61.5,.0409886
"IN",1988,1.28,5.3,14363.81,63.40649,.2493291,2.15779,.4302,21,0,.073137,9201.576,0,0,0,1101,.0001982,202,.0000364,123,90,.0003448,19,.0000728,132,36,.0005077,.0001385,141,.0003939,44,.0001229,322.4,.000058,5556005,260999.7,260001.2,357999.8,51124,5.5,62.3,.0364388
"IA",1982,1.25,8.5,12968.97,60.02779,.375895,.46661,.3283,19,0,.216399,6653.263,0,0,0,480,.0001651,87,.0000299,61,52,.0003611,6,.0000417,59,19,.0003702,.0001192,66,.0003056,21,.0000972,219.28,.0000754,2906995,144000,159388.6,215999.7,19341,9.7,57.8,-.0895124
